id,competency_id,competency_name,learner_outcome_id,name,description,example,progression_level_1_emerging,progression_level_2_developing,progression_level_3_proficient,progression_level_4_applying
FK.SS.2.b,FK.SS.2,Politics,FK,Social movements,"Students explore how social movements drive change. They recognize key figures, ideas, and strategies shared across movements and analyze how these elements challenge power structures and transform societies. They identify effective strategies and guiding beliefs that have shaped historical and current movements. Finally, they adapt and apply these successful tactics to contemporary issues, learning to communicate and connect them to today’s challenges for meaningful impact.","A student studies environmental movements, focusing on Rachel Carson and Greta Thunberg. They explore how science writing, awareness campaigns, and youth activism have shifted environmental policy. Referencing these strategies, the student produces a pamphlet on food waste, speaks during morning announcements to highlight the issue, and campaigns for students to take less their first time through the cafeteria line and then return for seconds, rather than loading up their trays and trashing uneaten food. They engage their school in sustainable practices inspired by past environmental movements.","I can identify people, ideas, strategies, etc. that are common across social movements and revolutions.","I can identify commonalities (e.g., people, ideas, strategies, etc.) across social movements and revolutions, and describe the impact they have had on people and organizations that hold power (institutions).","I analyze patterns across historical and present-day social movements and revolutions in order to identify effective strategies, powerful guiding beliefs, and levers of change that move institutions.",I practice incorporating and/or utilizing strategies that have made past social movements successful by adapting and effectively communicating them to connect to current situations.
FK.SS.2.c,FK.SS.2,Politics,FK,Social equity,"Students delve into the complexities of social equity, understanding how different groups have been defined and controlled throughout history. They learn to argue how power structures limit freedoms for some and how marginalized groups resist. They analyze how modern movements challenge these power dynamics, from laws to cultural norms. Ultimately, they explore nuanced differences between groups, examining how privilege and oppression arise, intersect, and shape societies today.","A student studies how apartheid policies in South Africa, such as forced removals and segregated healthcare, have impacted access to healthy environments and medical services for Black South Africans. They explore how marginalized communities resisted through grassroots organizations advocating for and providing healthcare access. The student presents a research project analyzing systemic barriers under apartheid and the resistance strategies that emerged, proposing ways that modern science and public health initiatives can support ongoing efforts for social equity and policy reform in post-apartheid South Africa, as well as in communities in the US.","I can describe different ways in which groups (such as geographic, age, religion, race/ethnicity, nationality, indignity, gender, class, sexuality, disability/ability, migration status), and cultural expectations around them, have been expressed and enforced in different parts of the world and periods of human history.","I can construct an argument regarding how different power structures, groups, and individuals seek to limit others’ freedom and wellbeing based on their groups, and describe how such groups have fought back.","I analyze how current social movements seek to impact structures of power (e.g., laws, policies, state governments, NGOs, media, religious institutions) that have influence over current societal and governmental treatment of (and expectations regarding) people in different groups.","I analyze and compare complex and/or idiosyncratic differences between social groups and how forms of privilege and oppression (e.g., racism, colonialism, homophobia, ableism, and patriarchy) are created within them."
FK.SS.2.d,FK.SS.2,Politics,FK,Economic equity,"Students explore economic equity by examining how access to opportunities and support systems affect people from diverse backgrounds. They evaluate how structures, politics, and policies shape access to resources at local, regional, and national levels. Ultimately, they analyze trends and advocate for changes that better address community needs, promoting more equitable economic outcomes.","A student examines how early 20th-century coal miners faced extremely dangerous working conditions and were paid below-market wages. They used grassroots organizing among their family and community networks to mobilize strikes and boycotts that pressured companies and lawmakers to enact labor reforms like better wages and safer working conditions. The student applies these lessons to today’s gig economy, proposing that rideshare drivers use social media and digital organizing among their social networks to advocate for improved pay and protections.","I can describe specific ways in which the quality, nature, and accessibility of various social and economic opportunities and support systems impact individuals from different backgrounds.",I can construct an argument regarding the long-term effects of different types and levels of various social and economic opportunities and support systems on society or culture.,"I evaluate local, regional and national social and economic opportunities and support systems (or the lack thereof), and describe the structures, politics, and policies that impact and/or reinforce them.","I evaluate trends and practices regarding local, regional, and national social and economic opportunities and support systems, and advocate for how they might better meet the needs of the communities they impact."
FK.SS.3.a,FK.SS.3,Economics,FK,Economic behavior,"Students explore how supply, demand, and competition shape the choices we make in everyday life, and how those choices can result in either benefit or harm to individuals and communities. By analyzing how incentive structures impact people and markets, students become adept at identifying causal effects —both intended and unintended—of policies and at communicating how economic interdependence drives complex behaviors across individuals, communities, and markets.","A student analyzes how a new chain grocery store impacts local businesses and consumer choices. They examine supply, demand, and competition, but also consider social factors. Despite lower prices at the chain, many consumers still support the local grocery due to personalized service, long-standing relationships, and the local grocer’s introduction of weekly specials in response to the new competition. The student concludes that consumer behavior is not always driven by rational economic factors, and that emotional and social connections may provide benefits to communities beyond the purely economic.","I can describe ways in which the concepts of supply, demand, competition, and rational actors show up in my own and others’ communities and daily lives.","I can describe the marginal benefits and costs of specific individual economic decisions, and how those benefits and costs may be different in different situations/contexts.","I analyze the outcomes and effectiveness of policies, structures, and incentives designed to affect the behavior of individuals and markets, and how economic dependence and interdependence influence those outcomes.","I analyze the unintended impacts of a variety of policies, structures, and incentives on the economic behavior of individuals and markets, and clearly communicate the causal links between them."
FK.SS.3.b,FK.SS.3,Economics,FK,Economic forces,"Students examine how institutions, laws, and norms shape the economy. They interpret key economic data to understand the indicators of economic health, and how those indicators suggest different outcomes for individuals living at different points along the economic spectrum. Over time, they evaluate the impact of monetary and fiscal policies in various conditions, and apply that knowledge to assessing solutions to systemic economic issues, weighing the benefits and costs for different groups and society as a whole.","A student investigates shrinkflation by calculating unit prices, revealing how companies raise prices beyond inflation in the absence of strong consumer protections. They notice peers attach higher status to brand names versus store brands. The student connects these findings to food consumption norms, exploring how marketing, not just regulations or cost, influences purchasing behavior. They organize a schoolwide taste test and show how much classmates save by switching to store brands just for those products that won the taste test.","I can describe the roles of institutions (such as corporations, non-profits, and labor unions) and norms and laws (such as property rights and rule of law) in a market economy.","I can interpret data to understand the state of employment, unemployment, inflation/deflation, average income and production, and economic growth in the economy.",I evaluate the relevance and likely outcomes of different monetary and fiscal policies in a variety of economic conditions.,I evaluate different approaches and/or solutions to current systemic economic issues in terms of marginal benefits and marginal costs for different groups and society as a whole.
FK.SS.3.c,FK.SS.3,Economics,FK,Access to resources,"Students explore the complex interactions between human activities and ecosystems, explaining how societies have historically leveraged natural resources and geography to build, shape, and sustain economies and cultures. They examine the impacts of economics and industry on resource availability, designing solutions to address the challenges caused by human behavior and natural events.","A student explores how the availability of minerals, such as coal and iron, shaped the development of the Industrial Revolution in Europe. They analyze how access to these natural resources influenced where factories were built and how transportation networks evolved to support industrial growth. The student creates a project that maps out the connections between resource locations and urbanization, demonstrating how the geography of resources drove economic and cultural changes during that period.","I can give examples of how human societies and cultures have used their physical surroundings (resources, geographic features, etc.) to create and support communities.",I can analyze and describe the impact of human settlement activities on the environmental and ecological characteristics of specific places and regions.,I analyze relationships and interactions within and between human settlements and the environmental/ecological characteristics of related places to explain changes in economic activity.,I design solutions that address the outcomes of environmental and ecological challenges that have been created by human behavior or natural events.
FK.SS.3.d,FK.SS.3,Economics,FK,Resource competition,"Students explore the history of resource access and develop an understanding of the historical, political, economic, and cultural factors that lead groups to compete, cooperate, or resort to violence over resources. They analyze the motives behind economic globalization and its ties to resource use and control. Ultimately, students evaluate how the demand for limited resources drive both competition and cooperation among groups, as well as conflicts that shape the world today.","A student studies the colonization of Africa, focusing on how Belgium and France collaborated in extracting rubber from the Congo while Britain and the Zulu Kingdom clashed in violent conflicts over land and resources. The student compares these strategies and writes an essay on how resource-driven competition and cooperation shaped Africa’s political boundaries and economic conditions, noting the lasting impact of colonization on modern African nations.","I can describe moments from throughout human history when groups (e.g., nations, city-states, tribes, etc.) have competed, cooperated, or committed violence to obtain resources.","I can compare and contrast relationships between groups from throughout human history when they have competed, cooperated, or committed violence to obtain resources.","I analyze and describe the motives behind global economic forces, and the relationship between economic globalization and the expanding use of limited resources.","I evaluate how global economic forces and the expanding use of limited resources contribute to competition, cooperation, and violence within and among groups."
FK.SS.4.a,FK.SS.4,Cultures,FK,Cultural difference,"Students explore the similarities and differences among world cultures. They connect historical, linguistic, and social threads to understand and communicate the links across cultures. They analyze the complexities of cross-cultural interactions and develop methods of inquiry to find common ground with other cultures. Ultimately, students use their deepened understanding to advocate for their own or other communities, promoting cultural awareness and empathy across diverse groups.","A student with family in the Gulf South proposes observing Mardi Gras at school but faces resistance due to its reputation for wild celebrations. The student researches carnival traditions worldwide, discovering shared religious roots, cultural significance, and economic impact in places like Rio de Janeiro, Quebec, and rural Switzerland. They present their findings on the historical and cultural importance of carnival to the student government, which approves locker decorating and a bake sale featuring traditional carnival desserts from around the world.",I can recognize and/or describe the cultural and linguistic likeness and difference between world cultures.,"I can distinguish and connect sub units of historical, linguistic, and social likeness and difference between world cultures.","I analyze and synthesize the nuances and complexities of historical, linguistic, and social interactions and intersections between world cultures to help others understand, appreciate, and relate to other cultures.",I apply my understanding of world cultures to advocate for my community or a community other than my own.
FK.SS.4.b,FK.SS.4,Cultures,FK,Social groupings,"Students identify their own social groups and develop an understanding of how these groups relate to their community and the world. They explore connections between their social identities and others, recognizing intersections and mutual impact among groups. They learn to articulate the complexities within and across groups, analyzing how cultural differences have evolved. Ultimately, they use this insight to deepen their understanding of diverse world cultures and the forces that shape them.","A student investigates how migration has shaped social groups in a major city, using their grandparents’ migration and settlement patterns as a starting point. They track their family’s journey, exploring how their social identities intersected with local culture. They map neighborhoods based on ethnicity, religion, and language, analyzing how immigrant groups, including their own family, maintained cultural practices while adapting to their new environment, and how personal and collective migration contribute to the city’s cultural diversity and complexity.","I can define my social groups (e.g., ‘race’/ethnicity, nationality, indigeneity, gender, class, sexuality, geography, age, disability/ability, migration status, religion) in relation to my community, society, and the world.","I can define, organize, and connect my social groups and others in relation to my community, society, and world.","I identify and articulate the complex differences between and across varying groups within a community, society, and the world.",I analyze complex differences and idiosyncrasies between multiple world cultures to better understand how and why they came to be.
FK.SS.4.c,FK.SS.4,Cultures,FK,History and culture,"Students recognize differences among cultures and use historical inquiry to explore how cultures developed. They analyze multiple sources to interpret past events and understand how cultures function and interact. Ultimately, students apply this knowledge to reconstruct the past and make informed decisions that connect history to present-day choices.","A student researches indigenous art in Africa and the impact of European colonization. They analyze paintings, sculptures, and historical accounts to understand how African artists incorporated European influences into traditional art forms to create new cultural fusions that tell the story of the African experience. They conclude by discussing how historical inquiry can help us understand the broader social changes that occurred and inform modern discussions of cultural preservation and identity.","I can recognize the core differences between cultures and, using historical methods of inquiry (primary sources etc.), explore their development across time and place.","I can use multiple sources to build interpretations of past events and identify and categorize complex cultural concepts (assimilation, adaptation, acculturation, enculturation, diffusion, and dissonance).",I use historical methods of inquiry and locate and analyze multiple sources and cultural concepts to explore and explain how culture and cultural systems function.,"I apply historical methods of inquiry to build and defend interpretations that reconstruct the past, and draw on my historical knowledge to make informed choices and decisions in the present."
FK.SS.4.d,FK.SS.4,Cultures,FK,Global connections,"Students define global connections and understand how societies depend on one another. They explore the social, economic, and political effects of these connections at local, national, and global levels and assess the complexities of balancing individual and national interests with global priorities. Ultimately, they apply their understanding of history and culture to evaluate critical global issues, such as human rights, trade, and environmental sustainability.","A student analyzes economic disparities between developing and developed nations, focusing on how resource access and historical trade patterns have led to unequal costs in the transition to green energy. The student explores the economic and social consequences of various energy strategies and investigates promising policies and technologies that could distribute the burden across nations more fairly. In their report, the student offers recommendations for balancing economic realities with scientific imperatives to achieve infrastructure modernization.",I can define global connection and interdependence.,"I can classify the effects (social, economic, political) of global connections (trade, migration, treaties) at the local, national, and international levels (world societies and regions).","I investigate and assess the costs and benefits of global connection(s) and tension(s) between national interests and global priorities by thinking systematically about personal, national, and global decisions.","I apply historical and cultural concepts and knowledge in addressing and evaluating critical issues such as peace, conflict, poverty, disease, human rights, trade, and global ecology (e.g., habitat destruction, invasive species, declination of population densities, pollution)."
FL.ID.1.a,FL.ID.1,Making Meaning,FL,Synthesizing information,"Learners gather information from multiple sources and areas of knowledge. They discern what is valuable, synthesizing across sources and arguments to create new, more complex interpretations of their own.","A student researching the efficacy of different cancer treatments gathers information from scientific journals, news articles, and wellness blogs. The student critically evaluates the sources, discerning the differences among research reports, journalistic accounts, and personal experiences.The student synthesizes data and storytelling, drawing conclusions based on highest quality data illustrated by relevant human interest.This leads to a complex interpretation of the medical, psychological, and societal costs and benefits of various cancer treatment approaches.","I can gather relevant information from varied domains (scientific, technical, historical) and from multiple sources.","I can gather, read, and organize information from varied domains (scientific, technical, historical) and from multiple sources.","I curate, read, and synthesize information from varied domains (scientific, technical, historical) and from multiple sources to understand a broader picture of an event or situation.",I synthesize and evaluate information from varied domains and from multiple sources to understand a broader picture and compare possible interpretations.
FL.ID.1.b,FL.ID.1,Making Meaning,FL,Formulating questions,"When approaching a new learning opportunity, students generate potential questions, and then assess those questions for relevance, importance, and utility. They consider the ways answers do and do not address the core question, and adjust or develop new questions to respond to any gaps.","A student prepares a presentation on the causes of the French Revolution, focusing on both political and economic factors. Initially finding weak support for political causes, they continue to probe, uncovering significant insights about how Enlightenment thought influenced political forces. This leads the student to revise their research questions and ultimately their arguments, incorporating cultural influences alongside political and economic factors.","I can articulate why I am asking a question, and how my question will lead to a deeper understanding of the topic.",I can describe how different potential questions might yield different answers that are more or less relevant to my understanding of a topic.,"I consider potential questions and prioritize my choices and framing to ensure that they are relevant, productively sequenced, and framed.","I determine the ways in which answers do and do not address my original question(s), and adjust or develop new questions to respond to any gaps in answers."
FL.ID.1.c,FL.ID.1,Making Meaning,FL,Evaluating information,Learners understand how the clarity and quality of the information they use can deepen their understanding and elevate their interpretations. They parse the quality and usefulness of their inputs in order to generate the strongest possible outputs.,"A student investigates the effects of minimum wage increases on small businesses in their city. They analyze multiple news reports that quote a single small business owner concerned that they will have to fire employees if they are required to raise wages. The student compares this with Bureau of Labor Statistics (BLS) data, and collects interview data from other small business owners. Weighing the differing conclusions from media, BLS stats, and their own interviews, the student determines that the articles quoting only one business owner do not represent the entire picture and combining BLS stats and a broader range of direct interviews is a more reliable set of information on which to base their conclusions.",I can describe possible meanings/ interpretations of unclearly presented information or arguments.,I can analyze surrounding context and grammatical structures to understand which possible meanings/ interpretations of unclearly presented information are the most likely to be true or intended.,I evaluate the broader implications of the most likely meanings of unclearly presented information to further refine my understanding of which interpretations are most likely.,I evaluate how the overall quality/rigor of my interpretations and understanding are affected by the quality and clarity of the information I use to form them.
FL.ID.2.a,FL.ID.2,Persuasive Communication,FL,Knowing my audience,"Effective communicators adjust their message based on who is listening. This skill teaches students to be adaptable and audience-aware, enhancing their ability to connect and communicate across various contexts.",A student uses formal language when presenting a science project to a panel of judges but adopts a conversational tone on social media to explain the same project to peers.,I can recognize and describe how a specific audience with particular perspectives may perceive different meanings from the same information or story.,"I can anticipate how different audiences with different perspectives will interpret my communications and apply that understanding to adjust the communication (including tone, pace, and emotions).","I anticipate how audiences that contain a diversity of perspectives will interpret my communications, and apply that understanding (including tone, pace, emotions, media, rhetorical strategy, etc.) to meet the needs of relevant audiences.","I make language choices and utilize delivery styles that convey respect, empathy and compassion for my audiences when communicating ideas, stories, and information."
FL.ID.2.b,FL.ID.2,Persuasive Communication,FL,Crafting narrative,"Great stories persuade. By learning to construct a narrative that connects past to present, students gain the ability to contextualize and discuss complex issues in a way that is both informative and moving.","For a student-produced podcast on the long-term impact of epidemics, a student searches local archives for the names of victims of the Influenza Epidemic of 1918. The student finds an oral history recording from the 1970s of a woman who lost her mother to the flu and is able to incorporate her story into the podcast.","I can recognize and describe how a piece of information or story is relevant to a topic or context, and how different audiences might interpret it.",I can choose words and communication strategies to convey the importance/ connections of certain details of my message based on the audience and purpose of the communication.,"I create and clearly describe connections between disparate pieces of information to build narratives, messages, stories, and arguments.","I share and connect important messages, narratives, stories, and arguments in an interactive, engaging, purposeful manner, with a style and tone that is well-suited to my audience and purpose."
FL.ID.2.c,FL.ID.2,Persuasive Communication,FL,Deploying communication media,Knowing which medium to use and when to use it ensures messages are not only heard but also understood and appreciated by diverse audiences.,"A student who wants to make a case for local action to address homelessness in their downtown might create a podcast for their peers, a slide presentation for a local community meeting, and a more formal email to the city council.","I can select and use appropriate resources, such as technology and different forms of media, to tell a story.",I can apply specific techniques within digital resources to enhance understanding of stories and ideas.,"I utilize a diverse set of appropriate resources and tools to communicate complex messages, information, and stories across a variety of contexts.","I skillfully utilize an array of tools and media formats to tell stories that build interest in ideas, subjects, and/or perspectives across a variety of contexts and content areas."
FL.ID.3.a,FL.ID.3,Critical Dialogue,FL,Reasoning,Learners engage in questioning their own and others’ reasoning with curiosity and kindness. This practice helps them and their peers explore different perspectives to bolster their arguments and clarify their conclusions.,"In history class, a student claims that the assassination of Archduke Franz Ferdinand was the sole cause of WWI. Another student responds, “While the assassination was significant, weren’t there other contributing factors?” The teacher facilitates a discussion in which the two students grapple with their respective thinking on early 20th century nationalism, militarism, and pre-existing alliances. Through this exchange, both students explore additional perspectives, clarify their arguments, and gain a deeper understanding of the complex causes of the war.","I can describe the steps someone else took to get an answer or reach a conclusion, and can identify when I get lost or can’t make sense of what they are saying.",I can explain my reasoning and question others’ reasoning in a way that generates further discussion.,I question my own and others’ reasoning to help myself and others consider different perspectives and clarify arguments and/or models.,I explore what may be true by questioning my own and others’ reasoning in a curious and kind manner.
FL.ID.3.b,FL.ID.3,Critical Dialogue,FL,Explaining my reasoning,"Learners concisely and effectively explain their reasoning, both orally and in writing. They respond to clarifying questions in a way that makes sense to the asker, helping them deepen their understanding or grasp new concepts.","For a literature assignment, a student writes that The Great Gatsby critiques the American Dream, arguing that Gatsby’s wealth can’t buy love, leaving him isolated. During a classroom reading, when a classmate asks why Gatsby feels isolated, the student explains that Gatsby pursued riches to win Daisy’s affection. The classmate replies, “But it worked for a while, right?” The student realizes their original claim should be revised from “wealth can’t buy love” to “wealth can’t buy lasting love and happiness” and refines the essay, incorporating their classmate’s reasoning.",I can explain my reasoning both on paper and orally.,"I can explain my reasoning both on paper and orally, and clearly describe how that reasoning impacts the issue being discussed.",I effectively and concisely explain my reasoning and respond to clarifying questions (both orally and in written forms) in a way that makes sense to the person asking the questions.,"When I explain my reasoning orally or in writing to other students, it helps them deepen their understanding and/or understand something that they didn’t already understand."
